MOP,Algorithm,Final_IGD,T_conv
DTLZ1,NSGA2,0.03554848103173379,300
DTLZ1,NSGA3,0.027220303173674104,200
DTLZ1,MOEAD,0.0645696518857567,500
DTLZ2,NSGA2,0.04784645253142633,100
DTLZ2,NSGA3,0.03655550924080323,100
DTLZ2,MOEAD,0.03655689632460045,100
DTLZ3,NSGA2,0.047015585980682985,400
DTLZ3,NSGA3,0.03571218134964059,600
DTLZ3,MOEAD,0.457855841249185,1000
DTLZ4,NSGA2,0.04815505149616595,100
DTLZ4,NSGA3,0.03515878636462096,100
DTLZ4,MOEAD,0.43895465844629566,100
DTLZ5,NSGA2,0.003161509584510128,300
DTLZ5,NSGA3,0.007105799165500676,100
DTLZ5,MOEAD,0.4715750476365041,100
DTLZ6,NSGA2,0.11388818848740424,400
DTLZ6,NSGA3,0.12950296798761413,600
DTLZ6,MOEAD,0.4733774716795699,200
DTLZ7,NSGA2,0.034139791155475926,200
DTLZ7,NSGA3,0.029401139339505562,300
DTLZ7,MOEAD,0.06023597050006479,200
DTLZ8,NSGA2,0.6994136005108069,500
DTLZ8,NSGA3,0.045007935415063746,500
DTLZ8,MOEAD,0.17598276656757844,400
DTLZ9,NSGA3,0.19209069777680693,500
DTLZ9,MOEAD,0.31414682474746397,700
DPF1,NSGA2,0.0027297258500629013,400
DPF1,NSGA3,0.008288098031029312,400
DPF1,MOEAD,0.05133853443787566,500
DPF2,NSGA2,0.0028043129707364107,100
DPF2,NSGA3,0.004843504031249629,200
DPF2,MOEAD,0.9015801453666608,100
DPF3,NSGA2,0.0016265611916663496,800
DPF3,NSGA3,0.007392955391285344,100
DPF3,MOEAD,0.29078932533774354,1000
DPF4,NSGA2,0.004244258365439191,200
DPF4,NSGA3,0.026376372355407136,200
DPF4,MOEAD,0.3671408388050695,300
DPF5,NSGA2,0.022017602607252718,100
DPF5,NSGA3,0.022574977409360705,200
DPF5,MOEAD,0.022291386507841224,100
